,#Digilent WaveForms Oscilloscope XY,
,#Device Name: Discovery2,
,#Serial Number: SN:210321AA2225,
,#Date Time: 2019-02-11 12:30:44.188,
,,
Times,Channel2V,Math 1 (A)
-0.00206185,-2.75103,-0.0183402
-0.00206127,-2.75103,-0.0183402
-0.00206069,-2.75103,-0.0183402
-0.00206011,-2.75103,-0.0183402
-0.00205953,-2.75103,-0.0183402
-0.00205895,-2.75103,-0.0183402
-0.00205837,-2.75103,-0.0183402
-0.00205779,-2.75103,-0.0183402
-0.00205721,-2.75103,-0.0183402
-0.00205663,-2.75103,-0.0183402
-0.00205605,-2.75103,-0.0183402
-0.00205547,-2.75103,-0.0183402
-0.00205489,-2.75103,-0.0183402
-0.00205431,-2.75103,-0.0183402
-0.00205373,-2.75103,-0.0183402
-0.00205315,-2.75103,-0.0183402
-0.00205257,-2.75103,-0.0183402
-0.00205199,-2.75103,-0.0183402
-0.00205141,-2.75103,-0.0183402
-0.00205083,-2.75103,-0.0183402
-0.00205025,-2.75103,-0.0183402
-0.00204967,-2.75103,-0.0183402
-0.00204909,-2.75103,-0.0183402
-0.00204851,-2.75103,-0.0183402
-0.00204793,-2.75103,-0.0183402
-0.00204735,-2.75103,-0.0183402
-0.00204677,-2.75103,-0.0183402
-0.00204619,-2.75103,-0.0183402
-0.00204561,-2.75103,-0.0183402
-0.00204503,-2.75103,-0.0183402
-0.00204445,-2.75103,-0.0183402
-0.00204387,-2.75103,-0.0183402
-0.00204329,-2.75103,-0.0183402
-0.00204271,-2.75103,-0.0183402
-0.00204213,-2.75103,-0.0183402
-0.00204155,-2.75103,-0.0183402
-0.00204097,-2.75103,-0.0183402
-0.00204039,-2.75103,-0.0183402
-0.00203981,-2.75103,-0.0183402
-0.00203923,-2.75103,-0.0183402
-0.00203865,-2.75103,-0.0183402
-0.00203807,-2.75103,-0.0183402
-0.00203749,-2.75103,-0.0183402
-0.00203691,-2.75103,-0.0183402
-0.00203633,-2.75103,-0.0183402
-0.00203575,-2.75103,-0.0183402
-0.00203517,-2.75103,-0.0183402
-0.00203459,-2.75103,-0.0183402
-0.00203401,-2.75103,-0.0183402
-0.00203343,-2.75103,-0.0183402
-0.00203285,-2.75103,-0.0183402
-0.00203227,-2.75103,-0.0183402
-0.00203169,-2.75103,-0.0183402
-0.00203111,-2.75103,-0.0183402
-0.00203053,-2.75103,-0.0183402
-0.00202995,-2.75103,-0.0183402
-0.00202937,-2.75103,-0.0183402
-0.00202879,-2.75103,-0.0183402
-0.00202821,-2.75103,-0.0183402
-0.00202763,-2.75103,-0.0183402
-0.00202705,-2.75103,-0.0183402
-0.00202647,-2.75103,-0.0183402
-0.00202589,-2.75103,-0.0183402
-0.00202531,-2.75103,-0.0183402
-0.00202473,-2.75103,-0.0183402
-0.00202415,-2.75103,-0.0183402
-0.00202357,-2.75103,-0.0183402
-0.00202299,-2.75103,-0.0183402
-0.00202241,-2.75103,-0.0183402
-0.00202183,-2.75103,-0.0183402
-0.00202125,-2.75103,-0.0183402
-0.00202067,-2.75103,-0.0183402
-0.00202009,-2.75103,-0.0183402
-0.00201951,-2.75103,-0.0183402
-0.00201893,-2.75103,-0.0183402
-0.00201835,-2.75103,-0.0183402
-0.00201777,-2.75103,-0.0183402
-0.00201719,-2.75103,-0.0183402
-0.00201661,-2.75103,-0.0183402
-0.00201603,-2.75103,-0.0183402
-0.00201545,-2.75103,-0.0183402
-0.00201487,-2.75103,-0.0183402
-0.00201429,-2.75103,-0.0183402
-0.00201371,-2.75103,-0.0183402
-0.00201313,-2.75103,-0.0183402
-0.00201255,-2.75103,-0.0183402
-0.00201197,-2.75103,-0.0183402
-0.00201139,-2.75103,-0.0183402
-0.00201081,-2.75103,-0.0183402
-0.00201023,-2.75103,-0.0183402
-0.00200965,-2.75103,-0.0183402
-0.00200907,-2.75103,-0.0183402
-0.00200849,-2.75103,-0.0183402
-0.00200791,-2.75103,-0.0183402
-0.00200733,-2.75103,-0.0183402
-0.00200675,-2.75103,-0.0183402
-0.00200617,-2.75103,-0.0183402
-0.00200559,-2.75103,-0.0183402
-0.00200501,-2.75103,-0.0183402
-0.00200443,-2.75103,-0.0183402
-0.00200385,-2.75103,-0.0183402
-0.00200327,-2.75103,-0.0183402
-0.00200269,-2.75103,-0.0183402
-0.00200211,-2.75103,-0.0183402
-0.00200153,-2.75103,-0.0183402
-0.00200095,-2.75103,-0.0183402
-0.00200037,-2.75103,-0.0183402
-0.00199979,-2.75103,-0.0183402
-0.00199921,-2.75103,-0.0183402
-0.00199863,-2.75103,-0.0183402
-0.00199805,-2.75103,-0.0183402
-0.00199747,-2.75103,-0.0183402
-0.00199689,-2.75103,-0.0183402
-0.00199631,-2.75103,-0.0183402
-0.00199573,-2.75103,-0.0183402
-0.00199515,-2.75103,-0.0183402
-0.00199457,-2.75103,-0.0183402
-0.00199399,-2.75103,-0.0183402
-0.00199341,-2.75103,-0.0183402
-0.00199283,-2.75103,-0.0183402
-0.00199225,-2.75103,-0.0183402
-0.00199167,-2.75103,-0.0183402
-0.00199109,-2.75103,-0.0183402
-0.00199051,-2.75103,-0.0183402
-0.00198993,-2.75103,-0.0183402
-0.00198935,-2.75103,-0.0183402
-0.00198877,-2.75103,-0.0183402
-0.00198819,-2.75103,-0.0183402
-0.00198761,-2.75103,-0.0183402
-0.00198703,-2.75103,-0.0183402
-0.00198645,-2.75103,-0.0183402
-0.00198587,-2.75103,-0.0183402
-0.00198529,-2.75103,-0.0183402
-0.00198471,-2.75103,-0.0183402
-0.00198413,-2.75103,-0.0183402
-0.00198355,-2.75103,-0.0183402
-0.00198297,-2.75103,-0.0183402
-0.00198239,-2.75103,-0.0183402
-0.00198181,-2.75103,-0.0183402
-0.00198123,-2.75103,-0.0183402
-0.00198065,-2.75103,-0.0183402
-0.00198007,-2.75103,-0.0183402
-0.00197949,-2.75103,-0.0183402
-0.00197891,-2.75103,-0.0183402
-0.00197833,-2.75103,-0.0183402
