#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:31:11.950,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of small resistor (470): Range: 500 mV/div Offset: 0 V,,
#current of small resistor: Function: C1 / 470,,
,,
Time (s),voltage of small resistor (470) (V),current of small resistor (mA)
-0.8575,-0.000312449,-6.65E-07
-0.85725,-0.000312449,-6.65E-07
-0.857,-0.000312449,-6.65E-07
-0.85675,-0.000312449,-6.65E-07
-0.8565,-0.000312449,-6.65E-07
-0.85625,-0.000312449,-6.65E-07
-0.856,-0.000312449,-6.65E-07
-0.85575,-0.000312449,-6.65E-07
-0.8555,-0.000312449,-6.65E-07
-0.85525,-0.000312449,-6.65E-07
-0.855,-0.000312449,-6.65E-07
-0.85475,-0.000312449,-6.65E-07
-0.8545,-0.000312449,-6.65E-07
-0.85425,-0.000312449,-6.65E-07
-0.854,-0.000312449,-6.65E-07
-0.85375,-0.000312449,-6.65E-07
-0.8535,-0.000312449,-6.65E-07
-0.85325,-0.000312449,-6.65E-07
-0.853,-0.000312449,-6.65E-07
-0.85275,-0.000312449,-6.65E-07
-0.8525,-0.000312449,-6.65E-07
-0.85225,-0.000312449,-6.65E-07
-0.852,-0.000312449,-6.65E-07
-0.85175,-0.000312449,-6.65E-07
-0.8515,-0.000312449,-6.65E-07
-0.85125,-0.000312449,-6.65E-07
-0.851,-0.000312449,-6.65E-07
-0.85075,-0.000312449,-6.65E-07
